,district,Year,month,Visitors
274,Adilabad,2018,March,23011
384,Adilabad,2018,April,14183
494,Adilabad,2018,May,8197
604,Adilabad,2018,June,12052
714,Adilabad,2018,July,24666
824,Adilabad,2018,August,38939
934,Adilabad,2018,September,25875
1044,Adilabad,2018,October,30257
1154,Adilabad,2018,November,49181
1264,Adilabad,2018,December,61476
55,Bhadradri Kothagudem ,2018,January,421275
165,Bhadradri Kothagudem ,2018,February,240634
275,Bhadradri Kothagudem ,2018,March,421275
385,Bhadradri Kothagudem ,2018,April,341258
495,Bhadradri Kothagudem ,2018,May,291273
605,Bhadradri Kothagudem ,2018,June,290512
715,Bhadradri Kothagudem ,2018,July,220304
825,Bhadradri Kothagudem ,2018,August,219548
935,Bhadradri Kothagudem ,2018,September,334878
1045,Bhadradri Kothagudem ,2018,October,322974
1155,Bhadradri Kothagudem ,2018,November,253464
1265,Bhadradri Kothagudem ,2018,December,442483
56,Hyderabad,2018,January,1978396
166,Hyderabad,2018,February,1365837
276,Hyderabad,2018,March,1415938
386,Hyderabad,2018,April,1586375
496,Hyderabad,2018,May,1189492
606,Hyderabad,2018,June,1595067
716,Hyderabad,2018,July,1470042
826,Hyderabad,2018,August,1591470
936,Hyderabad,2018,September,1508086
1046,Hyderabad,2018,October,2207478
1156,Hyderabad,2018,November,1671320
1266,Hyderabad,2018,December,1964150
57,Jagtial ,2018,January,614082
167,Jagtial ,2018,February,349576
277,Jagtial ,2018,March,416716
387,Jagtial ,2018,April,372874
497,Jagtial ,2018,May,641363
607,Jagtial ,2018,June,182505
717,Jagtial ,2018,July,182473
827,Jagtial ,2018,August,272685
937,Jagtial ,2018,September,273121
1047,Jagtial ,2018,October,138206
1157,Jagtial ,2018,November,277997
1267,Jagtial ,2018,December,231323
58,Jangaon ,2018,January,17180
168,Jangaon ,2018,February,18600
278,Jangaon ,2018,March,17300
388,Jangaon ,2018,April,18100
498,Jangaon ,2018,May,19660
608,Jangaon ,2018,June,23050
718,Jangaon ,2018,July,26280
828,Jangaon ,2018,August,26020
938,Jangaon ,2018,September,28830
1048,Jangaon ,2018,October,29470
1158,Jangaon ,2018,November,29570
1268,Jangaon ,2018,December,36962
59,Jayashankar Bhoopalpally,2018,January,6519850
169,Jayashankar Bhoopalpally,2018,February,8626250
279,Jayashankar Bhoopalpally,2018,March,146150
389,Jayashankar Bhoopalpally,2018,April,149150
499,Jayashankar Bhoopalpally,2018,May,152050
609,Jayashankar Bhoopalpally,2018,June,159400
719,Jayashankar Bhoopalpally,2018,July,128550
